EventDateTime,epoch,value
2023-09-14 22:01:26,1694728886,127.56
2023-09-14 22:01:36,1694728896,248.20
2023-09-14 22:01:46,1694728906,244.40
2023-09-14 22:01:56,1694728916,288.05
2023-09-14 22:02:06,1694728926,247.60
2023-09-14 22:02:16,1694728936,249.40
2023-09-14 22:02:26,1694728946,246.20
2023-09-14 22:02:36,1694728956,287.33
2023-09-14 22:02:46,1694728966,247.00
2023-09-14 22:02:56,1694728976,247.40
2023-09-14 22:03:06,1694728986,247.60
2023-09-14 22:03:16,1694728996,292.93
2023-09-14 22:03:26,1694729006,247.60
2023-09-14 22:03:36,1694729016,247.40
2023-09-14 22:03:46,1694729026,248.40
2023-09-14 22:03:56,1694729036,290.66
2023-09-14 22:04:06,1694729046,247.00
2023-09-14 22:04:16,1694729056,246.00
2023-09-14 22:04:26,1694729066,247.80
2023-09-14 22:04:36,1694729076,289.77
2023-09-14 22:04:46,1694729086,248.00
2023-09-14 22:04:56,1694729096,247.80
2023-09-14 22:05:06,1694729106,246.80
2023-09-14 22:05:16,1694729116,289.16
2023-09-14 22:05:26,1694729126,248.60
2023-09-14 22:05:36,1694729136,247.40
2023-09-14 22:05:46,1694729146,246.80
2023-09-14 22:05:56,1694729156,288.38
2023-09-14 22:06:06,1694729166,249.60
2023-09-14 22:06:16,1694729176,246.00
2023-09-14 22:06:26,1694729186,246.80
2023-09-14 22:06:36,1694729196,290.47
2023-09-14 22:06:46,1694729206,248.40
2023-09-14 22:06:56,1694729216,250.60
2023-09-14 22:07:06,1694729226,245.60
2023-09-14 22:07:16,1694729236,291.12
2023-09-14 22:07:26,1694729246,249.20
2023-09-14 22:07:36,1694729256,248.80
2023-09-14 22:07:46,1694729266,247.00
2023-09-14 22:07:56,1694729276,289.71
2023-09-14 22:08:06,1694729286,250.80
2023-09-14 22:08:16,1694729296,247.20
2023-09-14 22:08:26,1694729306,246.40
