EventDateTime,epoch,value
2023-09-13 22:42:42,1694644962,0.00
2023-09-13 22:42:52,1694644972,150.42
2023-09-13 22:43:02,1694644982,248.60
2023-09-13 22:43:12,1694644992,279.60
2023-09-13 22:43:22,1694645002,225.80
2023-09-13 22:43:32,1694645012,246.03
2023-09-13 22:43:42,1694645022,277.60
2023-09-13 22:43:52,1694645032,227.00
2023-09-13 22:44:02,1694645042,248.20
2023-09-13 22:44:12,1694645052,279.60
2023-09-13 22:44:22,1694645062,227.00
2023-09-13 22:44:32,1694645072,250.60
2023-09-13 22:44:42,1694645082,279.20
2023-09-13 22:44:52,1694645092,225.60
2023-09-13 22:45:02,1694645102,247.59
2023-09-13 22:45:12,1694645112,278.40
2023-09-13 22:45:22,1694645122,227.20
2023-09-13 22:45:32,1694645132,247.97
2023-09-13 22:45:42,1694645142,282.00
2023-09-13 22:45:52,1694645152,222.00
2023-09-13 22:46:02,1694645162,253.80
2023-09-13 22:46:12,1694645172,276.60
2023-09-13 22:46:22,1694645182,224.40
2023-09-13 22:46:32,1694645192,250.20
2023-09-13 22:46:42,1694645202,280.20
2023-09-13 22:46:52,1694645212,223.80
2023-09-13 22:47:02,1694645222,248.20
2023-09-13 22:47:12,1694645232,279.00
2023-09-13 22:47:22,1694645242,224.40
2023-09-13 22:47:32,1694645252,249.80
2023-09-13 22:47:42,1694645262,279.20
2023-09-13 22:47:52,1694645272,224.80
2023-09-13 22:48:02,1694645282,247.60
2023-09-13 22:48:12,1694645292,278.80
2023-09-13 22:48:22,1694645302,225.20
2023-09-13 22:48:32,1694645312,251.60
2023-09-13 22:48:42,1694645322,282.20
2023-09-13 22:48:52,1694645332,223.40
2023-09-13 22:49:02,1694645342,250.80
2023-09-13 22:49:12,1694645352,278.79
2023-09-13 22:49:22,1694645362,223.60
2023-09-13 22:49:32,1694645372,248.20
2023-09-13 22:49:42,1694645382,281.00
2023-09-13 22:49:52,1694645392,224.80
2023-09-13 22:50:02,1694645402,251.60
2023-09-13 22:50:12,1694645412,278.80
2023-09-13 22:50:22,1694645422,225.40
2023-09-13 22:50:32,1694645432,247.20
2023-09-13 22:50:42,1694645442,281.60
2023-09-13 22:50:52,1694645452,223.20
2023-09-13 22:51:02,1694645462,247.80
2023-09-13 22:51:12,1694645472,280.60
2023-09-13 22:51:22,1694645482,225.60
2023-09-13 22:51:32,1694645492,248.40
2023-09-13 22:51:42,1694645502,5.80
2023-09-13 22:51:52,1694645512,0.00
2023-09-13 22:52:02,1694645522,0.00
2023-09-13 22:52:12,1694645532,0.00
2023-09-13 22:52:22,1694645542,0.00
2023-09-13 22:52:32,1694645552,0.00
2023-09-13 22:52:42,1694645562,0.00
2023-09-13 22:52:52,1694645572,0.00
2023-09-13 22:53:02,1694645582,0.00
2023-09-13 22:53:12,1694645592,0.00
2023-09-13 22:53:22,1694645602,0.00
2023-09-13 22:53:32,1694645612,0.00
2023-09-13 22:53:42,1694645622,0.00
2023-09-13 22:53:52,1694645632,0.00
2023-09-13 22:54:02,1694645642,0.00
2023-09-13 22:54:12,1694645652,0.00
2023-09-13 22:54:22,1694645662,0.00
2023-09-13 22:54:32,1694645672,0.00
2023-09-13 22:54:42,1694645682,0.00
2023-09-13 22:54:52,1694645692,0.00
2023-09-13 22:55:02,1694645702,0.00
2023-09-13 22:55:12,1694645712,0.00
2023-09-13 22:55:22,1694645722,0.00
2023-09-13 22:55:32,1694645732,0.00
2023-09-13 22:55:42,1694645742,0.00
2023-09-13 22:55:52,1694645752,0.00
2023-09-13 22:56:02,1694645762,0.00
2023-09-13 22:56:12,1694645772,0.00
2023-09-13 22:56:22,1694645782,0.00
2023-09-13 22:56:32,1694645792,0.00
2023-09-13 22:56:42,1694645802,0.00
2023-09-13 22:56:52,1694645812,0.00
2023-09-13 22:57:02,1694645822,0.00
2023-09-13 22:57:12,1694645832,0.00
2023-09-13 22:57:22,1694645842,0.00
2023-09-13 22:57:32,1694645852,0.00
2023-09-13 22:57:42,1694645862,0.00
2023-09-13 22:57:52,1694645872,0.00
2023-09-13 22:58:02,1694645882,0.00
2023-09-13 22:58:12,1694645892,0.00
2023-09-13 22:58:22,1694645902,0.00
2023-09-13 22:58:32,1694645912,0.00
2023-09-13 22:58:42,1694645922,0.00
2023-09-13 22:58:52,1694645932,0.00
2023-09-13 22:59:02,1694645942,0.00
2023-09-13 22:59:12,1694645952,0.00
2023-09-13 22:59:22,1694645962,0.00
2023-09-13 22:59:32,1694645972,0.00
2023-09-13 22:59:42,1694645982,0.00
2023-09-13 22:59:52,1694645992,0.00
2023-09-13 23:00:02,1694646002,0.00
2023-09-13 23:00:12,1694646012,0.00
2023-09-13 23:00:22,1694646022,0.00
